product_name,product_price,product_price_range,product_type,product_body,product_variety,product_country,product_region,product_size,product_vintage,product_closure,product_seller,year
Louis Jadot Bourgogne Aligote,$40.00,$31 to $40,White,Body,Aligote,France,Burgundy,750ml,Cork,nan,Burgundy,2022
TarraWarra Estate Chardonnay,$29.00,$30 or Less,White,Body,Chardonnay,Australia,Yarra Valley,750ml,750ml,Screw Cap,Yarra Valley,2024
Chatto Intrigue Pinot Noir,$90.00,$51 to $100,Red,Body,Pinot Noir,Australia,Huon Valley,750ml,"97
95",Screw Cap.Screw Cap%,Huon Valley,2024
Bests Great Western Riesling,$25.00,$30 or Less,White,Body,Riesling,Australia,McLaren Vale,750ml,High Score,Halliday Wine Companion,Great Western,2024
Vinya Vella Old Bush Vine Grenache,$65.00,$51 to $100,Red,Body,Grenache,Australia,Barossa Valley,750ml,Halliday Wine Companion,"Screw Cap
Screw Cap",Barossa Valley,2023
Okros Wines Rkatsiteli Zvari,$49.00,$41 to $50,Red,Country,Grenache,Australia,McLaren Vale,750ml,Halliday Wine Companion,nan,Kakheti,2022
Parker Estate Cool Climate Cabernet Sauvignon,$20.00,$30 or Less,Red,Body,Cabernet Sauvignon,Australia,Coonawarra,750ml,92,Screw Cap%,Coonawarra,2021
Vasse Felix Cabernet Sauvignon,$44.00,$51 to $100,Red,Body,Cabernet Sauvignon,Australia,Margaret River,750ml,"The Real Review
James Suckling
Halliday Wine Companion","Screw Cap
Screw Cap",Margaret River,2022
MV Clover Hill Exceptionnelle,$42.00,$41 to $50,Sparkling,Body,Grenache,Australia,Tasmania,750ml,Cork,nan,Tasmania,2024
Stargazer Kura Shiraz Pinot Noir,$43.00,$41 to $50,Red,Body,Shiraz,Australia,McLaren Vale,750ml,Women in Wine,Halliday Wine Companion,Tasmania,2023
Babo Chianti,$29.00,$31 to $40,Red,Body,Sangiovese,Italy,Tuscany,750ml,2023,Screw Cap,Tuscany,2023
Mulline Syrah,$27.00,$31 to $40,Red,Body,Shiraz,Australia,Geelong,750ml,93,Screw Capml,Geelong,2023
Adelina Smith Vineyard Riesling,$38.00,$31 to $40,White,Body,Riesling,Australia,McLaren Vale,750ml,"High Score
Organic
Women in Wine","Halliday Wine Companion
The Wine Front
James Suckling",Clare Valley,2024
Savaterre Frere Cadet Chardonnay,$70.00,$51 to $100,White,Body,Chardonnay,Australia,Beechworth,750ml,"95
94",Screw Cap%,Beechworth,2023
Chateau de L'Aumerade Cote de Provence,$33.00,$31 to $40,Rosé,Body,Grenache,France,Provence,750ml,Screw Cap,nan,Provence,2023
Yarra Yering Light Dry Red,$79.00,$51 to $100,Red,Body,Pinot Noir,Australia,McLaren Vale,750ml,"High Score
Iconic
Women in Wine",Screw Capml,Yarra Valley,2024
The Story Marsanne Roussanne Viognier,$29.00,$30 or Less,White,Body,Marsanne,Australia,Grampians,750ml,95,Screw Cap.Screw Cap%,Grampians,2021
NV Jansz Premium Cuvée,$25.00,$30 or Less,Sparkling,Country,Grenache,Australia,McLaren Vale,750ml,Halliday Wine Companion,nan,McLaren Vale,2024
Moorooduc Estate Pinot Noir,$40.00,$41 to $50,Red,Body,Pinot Noir,Australia,Mornington Peninsula,750ml,93,Screw Cap.Screw Cap%,Mornington Peninsula,2023
Yarra Yering Underhill Shiraz,$130.00,$101 and Above,Red,Body,Shiraz,Australia,Yarra Valley,750ml,"Halliday Wine Companion
The Real Review","Screw Cap
Screw Cap",Yarra Valley,2022
MMAD Grenache,$70.00,$51 to $100,Red,Body,Grenache,Australia,McLaren Vale,750ml,"The Wine Advocate
The Real Review
The Wine Front
Wine Pilot
Halliday Wine Companion
James Suckling","Screw Cap
Screw Cap
Screw Cap
Screw Cap
Screw Cap",McLaren Vale,2023
Sherrah Fiano,$28.00,$30 or Less,White,Body,Fiano,Australia,McLaren Vale,750ml,95,Screw Cap%,McLaren Vale,2024
Ashton Hills Piccadilly Valley Chardonnay,$39.00,$31 to $40,White,Body,Chardonnay,Australia,Adelaide Hills,750ml,95,Screw Cap%,Adelaide Hills,2023
Oliver's Taranga Small Batch Fiano,$24.00,$30 or Less,White,Body,Fiano,Australia,McLaren Vale,750ml,Halliday Wine Companion,Screw Cap,McLaren Vale,2025
Voyager Chenin Blanc,$27.00,White,Chenin Blanc,Country,Margaret River,Australia,McLaren Vale,750ml,750ml,Screw Cap,Margaret River,2024
Helm Premium Riesling,$55.00,$51 to $100,White,Body,Riesling,Australia,Canberra,750ml,96,Screw Cap%,Canberra,2025
Jean Foillard Morgon Cote du Py,$99.00,$101 and Above,Red,Body,Gamay,France,Beaujolais,750ml,94,Screw Capml,Beaujolais,2023
Fighting Gully Road Sangiovese,$35.00,$31 to $40,Red,Body,Sangiovese,Australia,Beechworth,750ml,Halliday Wine Companion,Screw Cap,Beechworth,2024
Dominique Portet Fontaine Cabernets,$28.00,$30 or Less,Red,Body,Cabernet Sauvignon,Australia,McLaren Vale,750ml,Halliday Wine Companion,Screw Cap,Yarra Valley,2024
Nick Spencer Gundagai Rose,$26.00,$30 or Less,Rosé,Body,Grenache,Australia,McLaren Vale,750ml,The Wine Front,Screw Cap,Gundagai,2025
Mercer Wines Bianco Vermentino,$29.00,$30 or Less,White,Body,Vermentino,Australia,Hunter Valley,750ml,2025,Screw Cap,Hunter Valley,2025
Express Winemakers Chenin Blanc,$33.00,$31 to $40,White,Body,Chenin Blanc,Australia,Great Southern,750ml,750ml,Screw Cap,Great Southern,2023
Blue Poles Allouran Merlot Cabernet Franc,$38.00,$31 to $40,Red,Body,Merlot,Australia,Margaret River,750ml,94,Screw Cap%,Margaret River,2021
